[0:0] PACKAGE (package)
[0:8] STRING (main)
[2:0] VOID (void)
[2:5] IDENT (main)
[2:9] ( (()
[2:10] ) ())
[2:12] { ({)
[3:4] INT_KW (int)
[3:8] IDENT (a)
[3:10] = (=)
[3:12] - (-)
[3:13] NUMBER (1)
[3:15] + (+)
[3:17] NUMBER (1)
[3:19] - (-)
[3:21] NUMBER (1)
[3:23] * (*)
[3:25] NUMBER (1)
[3:27] / (/)
[3:29] NUMBER (2)
[4:4] INT8_KW (int8)
[4:9] IDENT (b)
[4:11] = (=)
[4:13] - (-)
[4:14] NUMBER (2)
[4:16] + (+)
[4:18] NUMBER (1)
[4:20] - (-)
[4:22] NUMBER (1)
[4:24] * (*)
[4:26] NUMBER (1)
[4:28] / (/)
[4:30] NUMBER (2)
[5:4] INT16_KW (int16)
[5:10] IDENT (c)
[5:12] = (=)
[5:14] - (-)
[5:15] NUMBER (3)
[5:17] + (+)
[5:19] NUMBER (1)
[5:21] - (-)
[5:23] NUMBER (1)
[5:25] * (*)
[5:27] NUMBER (1)
[5:29] / (/)
[5:31] NUMBER (2)
[6:4] INT32_KW (int32)
[6:10] IDENT (d)
[6:12] = (=)
[6:14] - (-)
[6:15] NUMBER (4)
[6:17] + (+)
[6:19] NUMBER (1)
[6:21] - (-)
[6:23] NUMBER (1)
[6:25] * (*)
[6:27] NUMBER (1)
[6:29] / (/)
[6:31] NUMBER (2)
[7:4] INT64_KW (int64)
[7:10] IDENT (e)
[7:12] = (=)
[7:14] - (-)
[7:15] NUMBER (5)
[7:17] + (+)
[7:19] NUMBER (1)
[7:21] - (-)
[7:23] NUMBER (1)
[7:25] * (*)
[7:27] NUMBER (1)
[7:29] / (/)
[7:31] NUMBER (2)
[9:4] UINT8_KW (uint8)
[9:10] IDENT (f)
[9:12] = (=)
[9:14] NUMBER (6)
[9:16] + (+)
[9:18] NUMBER (1)
[9:20] - (-)
[9:22] NUMBER (1)
[9:24] * (*)
[9:26] NUMBER (1)
[9:28] / (/)
[9:30] NUMBER (2)
[10:4] UINT16_KW (uint16)
[10:11] IDENT (g)
[10:13] = (=)
[10:15] NUMBER (7)
[10:17] + (+)
[10:19] NUMBER (1)
[10:21] - (-)
[10:23] NUMBER (1)
[10:25] * (*)
[10:27] NUMBER (1)
[10:29] / (/)
[10:31] NUMBER (2)
[11:4] UINT32_KW (uint32)
[11:11] IDENT (h)
[11:13] = (=)
[11:15] NUMBER (8)
[11:17] + (+)
[11:19] NUMBER (1)
[11:21] - (-)
[11:23] NUMBER (1)
[11:25] * (*)
[11:27] NUMBER (1)
[11:29] / (/)
[11:31] NUMBER (2)
[12:4] UINT64_KW (uint64)
[12:11] IDENT (i)
[12:13] = (=)
[12:15] NUMBER (9)
[12:17] + (+)
[12:19] NUMBER (1)
[12:21] - (-)
[12:23] NUMBER (1)
[12:25] * (*)
[12:27] NUMBER (1)
[12:29] / (/)
[12:31] NUMBER (2)
[14:4] INT_KW (int)
[14:8] IDENT (j)
[14:10] = (=)
[14:12] IDENT (a)
[15:4] INT8_KW (int8)
[15:9] IDENT (k)
[15:11] = (=)
[15:13] IDENT (b)
[16:4] INT16_KW (int16)
[16:10] IDENT (l)
[16:12] = (=)
[16:14] IDENT (c)
[17:4] INT32_KW (int32)
[17:10] IDENT (m)
[17:12] = (=)
[17:14] IDENT (d)
[18:4] INT64_KW (int64)
[18:10] IDENT (n)
[18:12] = (=)
[18:14] IDENT (e)
[19:4] UINT8_KW (uint8)
[19:10] IDENT (o)
[19:12] = (=)
[19:14] IDENT (f)
[20:4] UINT16_KW (uint16)
[20:11] IDENT (p)
[20:13] = (=)
[20:15] IDENT (g)
[21:4] UINT32_KW (uint32)
[21:11] IDENT (q)
[21:13] = (=)
[21:15] IDENT (h)
[22:4] UINT64_KW (uint64)
[22:11] IDENT (r)
[22:13] = (=)
[22:15] IDENT (i)
[23:0] } (})
